,_id,length,n_geospans
559,3694952,19518,39
560,6166594,37192,8
561,4604461,33815,23
562,4127044,22415,15
563,5198894,28631,67
564,6196880,41194,8
565,4158856,38826,25
566,2891814,27775,18
567,5103494,46435,35
568,4946102,32579,5
569,5615506,45895,17
570,3559346,47574,38
571,6408909,39200,23
572,4806464,36011,29
573,2830418,22733,4
574,6293967,44496,34
575,4093522,14342,26
576,5941586,31662,3
577,5978206,28885,15
578,6239061,21375,28
579,4682183,42888,30
580,3716525,27459,13
581,5835349,24164,12
582,6132394,46875,113
583,3234440,43966,30
584,4103116,13318,22
585,3226633,50307,49
586,5743221,35682,0
587,3020222,35048,24
588,3166751,24618,22
589,5768659,45012,26
590,5757227,25725,209
591,5802843,61213,6
592,4308072,47764,39
593,3233705,36918,287
594,4232705,64412,156
595,4142746,17780,14
596,5981971,36968,86
597,6416551,19217,18
598,3401282,28777,14
599,4262261,25338,55
600,3495409,28792,16
601,4956036,28396,6
602,4322292,15152,25
603,5994432,31974,39
604,4550277,39607,43
605,5864001,47755,172
606,3901666,71487,43
607,4070953,20210,78
608,4394707,85277,172
609,5645728,36988,81
610,6379620,27967,16
611,4866765,44418,1
612,3747769,35606,6
613,5309886,21230,14
614,4408061,37191,43
615,4726318,37966,3
616,6330033,49013,30
617,5300876,25220,61
618,4218796,49366,92
619,5439730,38924,4
620,4782243,34496,53
621,4420251,31011,136
622,5876939,25013,73
623,5013629,28836,14
624,5258724,56659,83
625,4852905,29879,32
626,4059725,57151,149
627,6374682,48285,37
628,4489867,52961,118
629,4530241,38077,22
630,3011829,32837,185
631,4763323,15857,36
632,3538743,39664,12
633,3276089,35156,23
634,5025182,48612,183
635,3033402,23276,1
636,5190985,25695,8
637,3338669,17086,17
638,5434928,32419,70
639,6277178,36090,87
640,5504618,47513,27
641,4431321,27745,78
642,5510824,28243,21
643,6151982,37899,10
644,6041973,33893,48
645,3533899,51978,40
646,3103907,23695,13
647,2781160,20943,14
648,5866869,17585,3
649,4730454,40449,113
650,5931685,28640,9
651,3350531,31387,208
652,5298634,16291,18
653,4090427,23576,9
654,5687714,46334,83
655,5551112,40954,38
